Issue,Issue Number,Issue Title,Series Start Year,Issue Published Year,TBP,Availability,Storyline,Story Order,Status,cover_image_url
Doom Patrol,90,,1964,1964,Doom Patrol: The Silver Age Vol. 1,Hoopla,Doom Patrol Origins,11,,
Doom Patrol,91,,1964,1964,Doom Patrol: The Silver Age Vol. 1,Hoopla,Doom Patrol Origins,12,,
Doom Patrol,92,,1964,1964,Doom Patrol: The Silver Age Vol. 1,Hoopla,Doom Patrol Origins,13,,
Doom Patrol,93,,1964,1964,Doom Patrol: The Silver Age Vol. 1,Hoopla,Doom Patrol Origins,14,,
Doom Patrol,94,,1964,1965,Doom Patrol: The Silver Age Vol. 1,Hoopla,Doom Patrol Origins,15,,
Doom Patrol,95,,1964,1965,Doom Patrol: The Silver Age Vol. 1,Hoopla,Doom Patrol Origins,16,,
Aquaman,40,,1962,1968,Aquaman: The Search for Mera Deluxe Edition,Hoopla,Aquaman: The Search for Mera,1,,
Aquaman,41,,1962,1968,Aquaman: The Search for Mera Deluxe Edition,Hoopla,Aquaman: The Search for Mera,2,,
Aquaman,42,,1962,1968,Aquaman: The Search for Mera Deluxe Edition,Hoopla,Aquaman: The Search for Mera,3,,
Aquaman,43,,1962,1968,Aquaman: The Search for Mera Deluxe Edition,Hoopla,Aquaman: The Search for Mera,4,,
Aquaman,44,,1962,1969,Aquaman: The Search for Mera Deluxe Edition,Hoopla,Aquaman: The Search for Mera,5,,
Aquaman,45,,1962,1969,Aquaman: The Search for Mera Deluxe Edition,Hoopla,Aquaman: The Search for Mera,6,,
Aquaman,46,,1962,1969,Aquaman: The Search for Mera Deluxe Edition,Hoopla,Aquaman: The Search for Mera,7,,
Aquaman,47,,1962,1969,Aquaman: The Search for Mera Deluxe Edition,Hoopla,Aquaman: The Search for Mera,8,,
Aquaman,48,,1962,1969,Aquaman: The Search for Mera Deluxe Edition,Hoopla,Aquaman: The Search for Mera,9,,
Green Lantern,76,,1960,1970,Green Lantern/Green Arrow,Hoopla,Green Lantern/Green Arrow: Hard Travelling Heroes,1,,
Green Lantern,77,,1960,1970,Green Lantern/Green Arrow,Hoopla,Green Lantern/Green Arrow: Hard Travelling Heroes,2,,
Green Lantern,78,,1960,1970,Green Lantern/Green Arrow,Hoopla,Green Lantern/Green Arrow: Hard Travelling Heroes,3,,
Green Lantern,79,,1960,1970,Green Lantern/Green Arrow,Hoopla,Green Lantern/Green Arrow: Hard Travelling Heroes,4,,
Green Lantern,80,,1960,1970,Green Lantern/Green Arrow,Hoopla,Green Lantern/Green Arrow: Hard Travelling Heroes,5,,
Green Lantern,81,,1960,1970,Green Lantern/Green Arrow,Hoopla,Green Lantern/Green Arrow: Hard Travelling Heroes,6,,
Green Lantern,82,,1960,1970,Green Lantern/Green Arrow,Hoopla,Green Lantern/Green Arrow: Hard Travelling Heroes,7,,
Green Lantern,83,,1960,1971,Green Lantern/Green Arrow,Hoopla,Green Lantern/Green Arrow: Hard Travelling Heroes,8,,
Green Lantern,84,,1960,1971,Green Lantern/Green Arrow,Hoopla,Green Lantern/Green Arrow: Hard Travelling Heroes,9,,
Green Lantern,85,,1960,1971,Green Lantern/Green Arrow,Hoopla,Green Lantern/Green Arrow: Hard Travelling Heroes,10,,
Green Lantern,86,,1960,1971,Green Lantern/Green Arrow,Hoopla,Green Lantern/Green Arrow: Hard Travelling Heroes,11,,
Green Lantern,87,,1960,1971,Green Lantern/Green Arrow,Hoopla,Green Lantern/Green Arrow: Hard Travelling Heroes,12,,
Green Lantern,88,,1960,1971,Green Lantern/Green Arrow,Hoopla,Green Lantern/Green Arrow: Hard Travelling Heroes,13,,
Green Lantern,89,,1960,1971,Green Lantern/Green Arrow,Hoopla,Green Lantern/Green Arrow: Hard Travelling Heroes,14,,
Detective Comics,411,,1937,1971,Batman Arkham: Talia al Ghul,Hoopla,Batman: al Ghul Origins,1,,
Batman,232,,1940,1971,Batman Arkham: Talia al Ghul/Batman: Illustrated by Neal Adams Vol. 3,Hoopla,Batman: al Ghul Origins,2,,
Batman,234,,1940,1971,Batman: Illustrated by Neal Adams Vol. 3,Hoopla,Batman: al Ghul Origins,4,,
Batman,235,,1940,1971,Batman: Tales of the Demon,DC Infinite,Batman: al Ghul Origins,3,,
Batman,237,,1940,1971,Batman: Illustrated by Neal Adams Vol. 3,Hoopla,Batman: al Ghul Origins,5,,
Batman,240,,1940,1972,Batman: Tales of the Demon,DC Infinite,Batman: al Ghul Origins,6,,
Batman,242,,1940,1972,Batman: Tales of the Demon,DC Infinite,Batman: al Ghul Origins,7,,
Batman,243,,1940,1972,Batman: Tales of the Demon,DC Infinite,Batman: al Ghul Origins,8,,
Batman,244,,1940,1972,Batman: Tales of the Demon,DC Infinite,Batman: al Ghul Origins,9,,
Superman,233,,1939,1971,Superman: Kryptonite Nevermore,Hoopla,Superman: Kryptonite Nevermore,1,,
Superman,234,,1939,1971,Superman: Kryptonite Nevermore,Hoopla,Superman: Kryptonite Nevermore,2,,
Superman,235,,1939,1971,Superman: Kryptonite Nevermore,Hoopla,Superman: Kryptonite Nevermore,3,,
Superman,236,,1939,1971,Superman: Kryptonite Nevermore,Hoopla,Superman: Kryptonite Nevermore,4,,
Superman,237,,1939,1971,Superman: Kryptonite Nevermore,Hoopla,Superman: Kryptonite Nevermore,5,,
Superman,238,,1939,1971,Superman: Kryptonite Nevermore,Hoopla,Superman: Kryptonite Nevermore,6,,
Superman,240,,1939,1971,Superman: Kryptonite Nevermore,Hoopla,Superman: Kryptonite Nevermore,7,,
Superman,241,,1939,1971,Superman: Kryptonite Nevermore,Hoopla,Superman: Kryptonite Nevermore,8,,
Superman,242,,1939,1971,Superman: Kryptonite Nevermore,Hoopla,Superman: Kryptonite Nevermore,9,,
Justice League of America,100,,1960,1972,Crisis on Multiple Earths Vol. 3,Hoopla,Crisis on Multiple Earths 2,1,,
Justice League of America,101,,1960,1972,Crisis on Multiple Earths Vol. 3,Hoopla,Crisis on Multiple Earths 2,2,,
Justice League of America,102,,1960,1972,Crisis on Multiple Earths Vol. 3,Hoopla,Crisis on Multiple Earths 2,3,,
Justice League of America,107,,1960,1973,Crisis on Multiple Earths Vol. 3,Hoopla,Crisis on Multiple Earths 2,4,,
Justice League of America,108,,1960,1973,Crisis on Multiple Earths Vol. 3,Hoopla,Crisis on Multiple Earths 2,5,,
Swamp Thing,1,,1972,1972,Swamp Thing: The Bronze Age Vol. 1,Hoopla,Swamp Thing Origins,1,,
Swamp Thing,2,,1972,1972,Swamp Thing: The Bronze Age Vol. 2,Hoopla,Swamp Thing Origins,2,,
Swamp Thing,3,,1972,1972,Swamp Thing: The Bronze Age Vol. 3,Hoopla,Swamp Thing Origins,3,,
Swamp Thing,4,,1972,1973,Swamp Thing: The Bronze Age Vol. 4,Hoopla,Swamp Thing Origins,4,,
Swamp Thing,5,,1972,1973,Swamp Thing: The Bronze Age Vol. 5,Hoopla,Swamp Thing Origins,5,,
Swamp Thing,6,,1972,1973,Swamp Thing: The Bronze Age Vol. 6,Hoopla,Swamp Thing Origins,6,,
Swamp Thing,7,,1972,1973,Swamp Thing: The Bronze Age Vol. 7,Hoopla,Swamp Thing Origins,7,,
Swamp Thing,8,,1972,1973,Swamp Thing: The Bronze Age Vol. 8,Hoopla,Swamp Thing Origins,8,,
Swamp Thing,9,,1972,1973,Swamp Thing: The Bronze Age Vol. 9,Hoopla,Swamp Thing Origins,9,,
Swamp Thing,10,,1972,1974,Swamp Thing: The Bronze Age Vol. 10,Hoopla,Swamp Thing Origins,10,,
Swamp Thing,11,,1972,1974,Swamp Thing: The Bronze Age Vol. 11,Hoopla,Swamp Thing Origins,11,,
Swamp Thing,12,,1972,1974,Swamp Thing: The Bronze Age Vol. 12,Hoopla,Swamp Thing Origins,12,,
Swamp Thing,13,,1972,1974,Swamp Thing: The Bronze Age Vol. 13,Hoopla,Swamp Thing Origins,13,,
"Superman's Pal, Jimmy Olsen",133,,1954,1970,"Superman's Pal, Jimmy Olsen by Jack Kirby TP",Hoopla,Fourth World Origins,1,,
"Superman's Pal, Jimmy Olsen",134,,1954,1970,"Superman's Pal, Jimmy Olsen by Jack Kirby TP",Hoopla,Fourth World Origins,2,,
"Superman's Pal, Jimmy Olsen",135,,1954,1970,"Superman's Pal, Jimmy Olsen by Jack Kirby TP",Hoopla,Fourth World Origins,3,,
