Issue,Issue Number,Issue Title,Series Start Year,Issue Published Year,TBP,Availability,Storyline,Story Order,Status,cover_image_url
New Teen Titans,17,,1980,1981,The New Teen Titans Vol. 3,Hoopla,The New Teen Titans,17,,
New Teen Titans,18,,1980,1981,The New Teen Titans Vol. 3,Hoopla,The New Teen Titans,18,,
Justice League of America,207,,1960,1982,Crisis on Multiple Earths Vol. 6,Hoopla,Crisis on Earth-Prime,1,,
All-Star Squadron,14,,1981,1982,Crisis on Multiple Earths Vol. 6,Hoopla,Crisis on Earth-Prime,2,,
Justice League of America,208,,1960,1982,Crisis on Multiple Earths Vol. 6,Hoopla,Crisis on Earth-Prime,3,,
All-Star Squadron,15,,1981,1982,Crisis on Multiple Earths Vol. 6,Hoopla,Crisis on Earth-Prime,4,,
Justice League of America,209,,1960,1982,Crisis on Multiple Earths Vol. 6,Hoopla,Crisis on Earth-Prime,5,,
Legion of Super-Heroes Vol. 2,290,,1980,1982,Legion of Super-Heroes: The Great Darkness Saga,Hoopla,Legion of Super-Heroes: The Great Darkness Saga,8,,
Legion of Super-Heroes Vol. 2,291,,1980,1982,Legion of Super-Heroes: The Great Darkness Saga,Hoopla,Legion of Super-Heroes: The Great Darkness Saga,9,,
Legion of Super-Heroes Vol. 2,292,,1980,1982,Legion of Super-Heroes: The Great Darkness Saga,Hoopla,Legion of Super-Heroes: The Great Darkness Saga,10,,
Legion of Super-Heroes Vol. 2,293,,1980,1982,Legion of Super-Heroes: The Great Darkness Saga,Hoopla,Legion of Super-Heroes: The Great Darkness Saga,11,,
Legion of Super-Heroes Vol. 2,294,,1980,1982,Legion of Super-Heroes: The Great Darkness Saga,Hoopla,Legion of Super-Heroes: The Great Darkness Saga,12,,
New Teen Titans,19,,1980,1982,The New Teen Titans Vol. 3,Hoopla,The New Teen Titans,19,,
New Teen Titans,20,,1980,1982,The New Teen Titans Vol. 3,Hoopla,The New Teen Titans,20,,
Tales of the New Teen Titans,1,,1982,1982,The New Teen Titans Vol. 3,Hoopla,The New Teen Titans,21,,
Tales of the New Teen Titans,2,,1982,1982,The New Teen Titans Vol. 3,Hoopla,The New Teen Titans,22,,
Tales of the New Teen Titans,3,,1982,1982,The New Teen Titans Vol. 3,Hoopla,The New Teen Titans,23,,
Tales of the New Teen Titans,4,,1982,1982,The New Teen Titans Vol. 3,Hoopla,The New Teen Titans,24,,
New Teen Titans,21,,1980,1982,The New Teen Titans Vol. 4,Hoopla,The New Teen Titans,25,,
New Teen Titans,22,,1980,1982,The New Teen Titans Vol. 4,Hoopla,The New Teen Titans,26,,
New Teen Titans,23,,1980,1982,The New Teen Titans Vol. 4,Hoopla,The New Teen Titans,27,,
New Teen Titans,24,,1980,1982,The New Teen Titans Vol. 4,Hoopla,The New Teen Titans,28,,
New Teen Titans,25,,1980,1982,The New Teen Titans Vol. 4,Hoopla,The New Teen Titans,29,,
New Teen Titans Annual,1,,1982,1982,The New Teen Titans Vol. 4,Hoopla,The New Teen Titans,30,,
New Teen Titans,26,,1980,1982,The New Teen Titans Vol. 4,Hoopla,The New Teen Titans: Terra Incognito,1,,
New Teen Titans,27,,1980,1983,The New Teen Titans Vol. 4,Hoopla,The New Teen Titans: Terra Incognito,2,,
Batman,358,,1940,1983,Batman Arkham: Killer Croc,Hoopla,Killer Croc Origins,1,,
Detective Comics,525,,1940,1983,Batman Arkham: Killer Croc,Hoopla,Killer Croc Origins,2,,
Batman,359,,1940,1983,Batman Arkham: Killer Croc,Hoopla,Killer Croc Origins,3,,
Legion of Super-Heroes Vol. 2,295,,1980,1983,Legion of Super-Heroes: The Great Darkness Saga,Hoopla,The Great Darkness Saga,13,,
Legion of Super-Heroes Vol. 2,296,,1980,1983,Legion of Super-Heroes: The Great Darkness Saga,Hoopla,The Great Darkness Saga,14,,
Legion of Super-Heroes Vol. 2,297,,1980,1983,Legion of Super-Heroes: The Curse,Hoopla,Legion of Super-Heroes: The Curse,1,,
Legion of Super-Heroes Vol. 2,298,,1980,1983,Legion of Super-Heroes: The Curse,Hoopla,Legion of Super-Heroes: The Curse,2,,
Legion of Super-Heroes Vol. 2,299,,1980,1983,Legion of Super-Heroes: The Curse,Hoopla,Legion of Super-Heroes: The Curse,3,,
Legion of Super-Heroes Vol. 2,300,,1980,1983,Legion of Super-Heroes: The Curse,Hoopla,Legion of Super-Heroes: The Curse,4,,
New Teen Titans,28,,1980,1983,The New Teen Titans Vol. 5,Hoopla,The New Teen Titans: Terra Incognito,3,,
New Teen Titans,29,,1980,1983,The New Teen Titans Vol. 5,Hoopla,The New Teen Titans: Terra Incognito,4,,
New Teen Titans,30,,1980,1983,The New Teen Titans Vol. 5,Hoopla,The New Teen Titans: Terra Incognito,5,,
New Teen Titans,31,,1980,1983,The New Teen Titans Vol. 5,Hoopla,The New Teen Titans: Terra Incognito,6,,
New Teen Titans,32,,1980,1983,The New Teen Titans Vol. 5,Hoopla,The New Teen Titans: Terra Incognito,7,,
New Teen Titans,33,,1980,1983,The New Teen Titans Vol. 5,Hoopla,The New Teen Titans: Terra Incognito,8,,
New Teen Titans,34,,1980,1983,The New Teen Titans Vol. 5,Hoopla,The New Teen Titans: Terra Incognito,9,,
New Teen Titans Annual,2,,1982,1983,The New Teen Titans Vol. 5,Hoopla,The New Teen Titans: Terra Incognito,10,,
